Data from 'person_bbox.pkl':
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0445_0_normal.png: {'bbox': array([[234, 173, 407, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0705_0_normal.png: {'bbox': array([[242, 284, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1275_0_normal.png: {'bbox': array([[226, 171, 399, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0075_0_normal.png: {'bbox': array([[227, 186, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0035_0_normal.png: {'bbox': array([[231, 191, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1035_0_normal.png: {'bbox': array([[228, 192, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0715_0_normal.png: {'bbox': array([[242, 284, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1210_0_normal.png: {'bbox': array([[229, 174, 401, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0960_0_normal.png: {'bbox': array([[231, 191, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1190_0_normal.png: {'bbox': array([[228, 192, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1485_0_normal.png: {'bbox': array([[238, 315, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1225_0_normal.png: {'bbox': array([[196, 176, 403, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1410_0_normal.png: {'bbox': array([[236, 315, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0295_0_normal.png: {'bbox': array([[230, 195, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0235_0_normal.png: {'bbox': array([[230, 186, 408, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0835_0_normal.png: {'bbox': array([[242, 280, 393, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0320_0_normal.png: {'bbox': array([[235, 170, 407, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1075_0_normal.png: {'bbox': array([[228, 180, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0265_0_normal.png: {'bbox': array([[230, 195, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1505_0_normal.png: {'bbox': array([[237, 315, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0215_0_normal.png: {'bbox': array([[229, 187, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0520_0_normal.png: {'bbox': array([[230, 172, 404, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1105_0_normal.png: {'bbox': array([[228, 180, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0530_0_normal.png: {'bbox': array([[241, 171, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1385_0_normal.png: {'bbox': array([[233, 316, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1270_0_normal.png: {'bbox': array([[229, 172, 401, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0645_0_normal.png: {'bbox': array([[248, 279, 394, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0700_0_normal.png: {'bbox': array([[242, 284, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0405_0_normal.png: {'bbox': array([[229, 187, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0680_0_normal.png: {'bbox': array([[241, 285, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0795_0_normal.png: {'bbox': array([[241, 285, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0790_0_normal.png: {'bbox': array([[241, 285, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1065_0_normal.png: {'bbox': array([[228, 192, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0585_0_normal.png: {'bbox': array([[232, 199, 396, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0125_0_normal.png: {'bbox': array([[227, 171, 397, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0570_0_normal.png: {'bbox': array([[237, 172, 403, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1250_0_normal.png: {'bbox': array([[229, 173, 406, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1050_0_normal.png: {'bbox': array([[232, 190, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
